Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Terrence Ross,SG,31,TOT,45,9,22.4,3.2,7.3,.433,1.5,3.9,.373,1.7,3.4,.503,.534,0.4,0.5,.727,0.2,1.9,2.2,1.3,0.6,0.2,0.8,1.4,8.1
Terrence Ross,SG,31,ORL,42,9,22.5,3.1,7.1,.431,1.5,3.8,.381,1.6,3.3,.489,.533,0.4,0.5,.750,0.2,1.8,2.0,1.3,0.6,0.2,0.9,1.3,8.0
Terrence Ross,SG,31,PHO,3,0,21.7,4.3,9.7,.448,1.7,5.7,.294,2.7,4.0,.667,.534,0.3,0.7,.500,0.3,3.7,4.0,2.0,0.3,0.0,0.0,2.7,10.7
Terry Rozier,SG,28,CHO,54,54,35.7,7.9,19.0,.414,2.7,8.1,.332,5.1,10.8,.476,.485,3.0,3.6,.816,0.9,3.3,4.1,4.8,1.1,0.2,2.2,1.8,21.4
Ricky Rubio,PG,32,CLE,17,0,16.1,1.6,5.2,.315,0.8,2.9,.280,0.8,2.3,.359,.393,0.9,1.3,.727,0.2,2.1,2.3,3.4,1.1,0.1,0.8,1.5,5.1
D'Angelo Russell,PG,26,TOT,58,58,32.4,6.2,13.3,.464,2.7,6.8,.389,3.5,6.4,.543,.564,2.6,3.1,.850,0.5,2.6,3.1,6.1,1.1,0.4,2.6,2.1,17.6
D'Angelo Russell,PG,26,MIN,54,54,32.9,6.3,13.5,.465,2.7,7.0,.391,3.5,6.4,.546,.567,2.6,3.1,.856,0.5,2.5,3.1,6.2,1.1,0.4,2.7,2.2,17.9
D'Angelo Russell,PG,26,LAL,4,4,24.8,4.8,10.8,.442,1.5,4.3,.353,3.3,6.5,.500,.512,2.5,3.3,.769,0.5,3.0,3.5,5.0,0.3,0.0,1.5,1.3,13.5
Matt Ryan,SF,25,TOT,32,0,9.5,1.3,3.3,.374,1.0,2.6,.386,0.3,0.8,.333,.523,0.3,0.4,.833,0.1,0.7,0.8,0.5,0.2,0.0,0.2,0.8,3.8
Matt Ryan,SF,25,LAL,12,0,10.8,1.3,4.1,.306,1.1,2.9,.371,0.2,1.2,.143,.439,0.3,0.4,.800,0.2,1.0,1.2,0.3,0.2,0.0,0.3,1.2,3.9
Matt Ryan,SF,25,MIN,20,0,8.7,1.3,2.9,.431,1.0,2.4,.396,0.3,0.5,.600,.595,0.3,0.4,.857,0.1,0.5,0.6,0.6,0.2,0.1,0.2,0.7,3.8
Domantas Sabonis,C,26,SAC,60,60,34.5,7.1,11.5,.617,0.4,1.2,.348,6.7,10.4,.647,.634,4.2,5.5,.769,3.0,9.4,12.3,7.0,0.9,0.5,3.0,3.7,18.9
Dario Šarić,PF,28,TOT,44,12,14.5,2.3,4.9,.458,0.8,2.0,.400,1.4,2.9,.500,.542,1.1,1.3,.847,1.0,2.8,3.8,1.4,0.3,0.1,1.1,1.9,6.5
Dario Šarić,PF,28,PHO,37,12,14.4,2.1,4.8,.427,0.7,1.9,.391,1.3,2.9,.450,.503,1.0,1.2,.818,1.1,2.8,3.8,1.5,0.4,0.1,1.0,1.9,5.8
Dario Šarić,PF,28,OKC,7,0,15.0,3.3,5.4,.605,1.3,3.0,.429,2.0,2.4,.824,.724,2.0,2.1,.933,0.7,2.9,3.6,0.9,0.1,0.0,1.6,2.1,9.9
Jordan Schakel,SF,24,WAS,2,0,3.0,0.5,1.0,.500,0.5,0.5,1.000,0.0,0.5,.000,.750,0.0,0.0,0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,1.5
Admiral Schofield,PF,25,ORL,30,0,12.0,1.5,3.1,.479,0.6,1.9,.339,0.9,1.3,.684,.580,0.6,0.6,.895,0.6,1.1,1.7,0.8,0.2,0.1,0.2,1.8,4.2
Dennis Schröder,PG,29,LAL,50,45,30.9,4.1,9.8,.418,1.2,3.5,.337,2.9,6.3,.463,.479,3.2,3.7,.869,0.3,2.3,2.5,4.6,0.7,0.1,1.7,2.3,12.6
Dereon Seabron,SG,22,NOP,5,0,2.4,0.4,1.0,.400,0.0,0.0,0,0.4,1.0,.400,.400,0.0,0.0,0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.8
Alperen Şengün,C,20,HOU,57,54,28.2,5.8,10.5,.553,0.2,0.7,.310,5.6,9.8,.572,.564,2.9,3.9,.737,3.2,5.5,8.6,3.9,0.8,0.9,2.5,3.4,14.8
